name,count,total_ms,avg_ms,min_ms,p50_ms,p95_ms,p99_ms,max_ms,last_ms
plan2d.actor_visuals.full_interaction,5,0.824182,0.164836,0.004977,0.007220,0.439762,0.439762,0.439762,0.439762
plan2d.guide_cache.extra.build,1,0.021111,0.021111,0.021111,0.021111,0.021111,0.021111,0.021111,0.021111
plan2d.guide_cache.scene.build,1,0.007270,0.007270,0.007270,0.007270,0.007270,0.007270,0.007270,0.007270
plan2d.guide_cache.scene.collect_targets,1,0.005788,0.005788,0.005788,0.005788,0.005788,0.005788,0.005788,0.005788
plan2d.smart_snap.alignment,1,0.143783,0.143783,0.143783,0.143783,0.143783,0.143783,0.143783,0.143783
plan2d.smart_snap.alignment.extra_cache,1,0.038467,0.038467,0.038467,0.038467,0.038467,0.038467,0.038467,0.038467
plan2d.smart_snap.alignment.intersection_candidate,1,0.006840,0.006840,0.006840,0.006840,0.006840,0.006840,0.006840,0.006840
plan2d.smart_snap.alignment.nearest_axes,1,0.014332,0.014332,0.014332,0.014332,0.014332,0.014332,0.014332,0.014332
plan2d.smart_snap.alignment.project,1,0.002965,0.002965,0.002965,0.002965,0.002965,0.002965,0.002965,0.002965
plan2d.smart_snap.alignment.radius,1,0.002383,0.002383,0.002383,0.002383,0.002383,0.002383,0.002383,0.002383
plan2d.smart_snap.alignment.scene_cache,1,0.038207,0.038207,0.038207,0.038207,0.038207,0.038207,0.038207,0.038207
plan2d.smart_snap.manager,2,0.225915,0.112957,0.094931,0.094931,0.130984,0.130984,0.130984,0.094931
plan2d.smart_snap.prepare_targets,2,0.000620,0.000310,0.000300,0.000300,0.000320,0.000320,0.000320,0.000320
plan2d.smart_snap.total,2,0.403838,0.201919,0.144183,0.144183,0.259655,0.259655,0.259655,0.259655
plan_trace.cursor.actor_sync,2,0.939634,0.469817,0.443468,0.443468,0.496166,0.496166,0.496166,0.443468
plan_trace.cursor.constraint,2,0.004076,0.002038,0.001923,0.001923,0.002153,0.002153,0.002153,0.001923
plan_trace.cursor.pending_preview,2,0.454464,0.227232,0.019479,0.019479,0.434985,0.434985,0.434985,0.434985
plan_trace.cursor.project,2,0.015754,0.007877,0.007541,0.007541,0.008213,0.008213,0.008213,0.007541
plan_trace.cursor.register_cursor,2,0.809111,0.404555,0.380685,0.380685,0.428426,0.428426,0.428426,0.380685
plan_trace.cursor.smart_snap,2,0.442456,0.221228,0.164343,0.164343,0.278113,0.278113,0.278113,0.278113
