counter,count,total_ms,avg_ms,p50_ms,p95_ms,p99_ms,max_ms,last_ms
vent.ui.sync_report,1,0.11390000008759671,0.11390000008759671,0.11390000008759671,0.11390000008759671,0.11390000008759671,0.11390000008759671,0.11390000008759671
vent.ui.sync_view_feedback,1,0.08613800036982866,0.08613800036982866,0.08613800036982866,0.08613800036982866,0.08613800036982866,0.08613800036982866,0.08613800036982866
vent.ui.refresh_state,1,0.0596290001340094,0.0596290001340094,0.0596290001340094,0.0596290001340094,0.0596290001340094,0.0596290001340094,0.0596290001340094
scene_cache.rebuild.total,1,0.045897999825683655,0.045897999825683655,0.045897999825683655,0.045897999825683655,0.045897999825683655,0.045897999825683655,0.045897999825683655
scene_cache.rebuild.collect_document_meshes,1,0.015331999748013914,0.015331999748013914,0.015331999748013914,0.015331999748013914,0.015331999748013914,0.015331999748013914,0.015331999748013914
vent.feedback.snapshot.route_visuals,1,0.009304000286647351,0.009304000286647351,0.009304000286647351,0.009304000286647351,0.009304000286647351,0.009304000286647351,0.009304000286647351
scene_cache.mesh.collect_objects,1,0.007992000064405147,0.007992000064405147,0.007992000064405147,0.007992000064405147,0.007992000064405147,0.007992000064405147,0.007992000064405147
scene_cache.rebuild.collect_sketch,1,0.0013519997992261779,0.0013519997992261779,0.0013519997992261779,0.0013519997992261779,0.0013519997992261779,0.0013519997992261779,0.0013519997992261779
scene_cache.rebuild.collect_selection,1,0.0008609999895270448,0.0008609999895270448,0.0008609999895270448,0.0008609999895270448,0.0008609999895270448,0.0008609999895270448,0.0008609999895270448
scene_cache.rebuild.collect_scene,1,0.0002800002221192699,0.0002800002221192699,0.0002800002221192699,0.0002800002221192699,0.0002800002221192699,0.0002800002221192699,0.0002800002221192699
