famille,methode,fichier,ligne,appel
actor_registry,add,tool_api/_ui_motif_runtime.py,50,"return self.ctx.actor_registry(self.owner_tool).add(actor, replace=True)"
actor_registry,actor_registry,tool_api/_ui_motif_runtime.py,50,"return self.ctx.actor_registry(self.owner_tool).add(actor, replace=True)"
actor_registry,add,tool_api/_ui_motif_runtime.py,101,return self.ctx.actor_registry(self.owner_tool).add(
actor_registry,actor_registry,tool_api/_ui_motif_runtime.py,101,return self.ctx.actor_registry(self.owner_tool).add(
actor_registry,add,tool_api/_ui_motif_runtime.py,114,"return self.ctx.actor_registry(self.owner_tool).add(template, replace=True)"
actor_registry,actor_registry,tool_api/_ui_motif_runtime.py,114,"return self.ctx.actor_registry(self.owner_tool).add(template, replace=True)"
actor_registry,add,tool_api/_ui_motif_visibility.py,29,"ctx.actor_registry(actor.owner_tool).add(replace(actor, metadata=metadata), replace=True)"
actor_registry,actor_registry,tool_api/_ui_motif_visibility.py,29,"ctx.actor_registry(actor.owner_tool).add(replace(actor, metadata=metadata), replace=True)"
selection_low_level,register_actor,tool_api/actors.py,268,self._ctx.selection.register_actor(actor)
selection_low_level,update_actor,tool_api/actors.py,279,if not self._ctx.selection.update_actor(actor):
actor_registry,actor_registry,tool_api/diagnostic_lab.py,285,registry = self.ctx.actor_registry(self.owner_tool)
actor_registry,actor_registry,tool_api/diagnostic_lab.py,291,registry = self.ctx.actor_registry(self.owner_tool)
actor_registry,actor_registry,tool_api/diagnostic_lab.py,409,registry = self.ctx.actor_registry(self.owner_tool)
actor_registry,actor_registry,tool_api/diagnostics.py,215,registry = ctx.actor_registry(owner)
actor_registry,actor_registry,tool_api/diagnostics.py,246,registry = ctx.actor_registry(owner)
actor_registry,add,tool_api/diagnostics.py,399,"context.actor_registry(owner).add(actors.point(""life.point"", (0, 0, 0), interaction=""grabbable""))"
actor_registry,actor_registry,tool_api/diagnostics.py,399,"context.actor_registry(owner).add(actors.point(""life.point"", (0, 0, 0), interaction=""grabbable""))"
actor_factory,point,tool_api/plan2d/actors.py,66,actor = actor_factory.point(
actor_registry,add,tool_api/plan2d/actors.py,76,"return ctx.actor_registry(owner_tool).add(actor, replace=True)"
actor_registry,actor_registry,tool_api/plan2d/actors.py,76,"return ctx.actor_registry(owner_tool).add(actor, replace=True)"
actor_factory,line,tool_api/plan2d/actors.py,108,actor = actor_factory.line(
actor_registry,add,tool_api/plan2d/actors.py,118,"registered = ctx.actor_registry(owner_tool).add(actor, replace=True)"
actor_registry,actor_registry,tool_api/plan2d/actors.py,118,"registered = ctx.actor_registry(owner_tool).add(actor, replace=True)"
actor_factory,polyline,tool_api/plan2d/actors.py,183,actor = actor_factory.polyline(
actor_registry,add,tool_api/plan2d/actors.py,192,"registered = ctx.actor_registry(owner_tool).add(actor, replace=True)"
