famille,methode,fichier,ligne,categorie,appel,remplacement_nouvelle_api,couverture
gizmos,handles,application/_tool_core_diag_scene_painter.py,70,diagnostic/catalogue,handles = list(ctx.gizmos.handles(owner_tool=self.owner_tool)),snapshot.handles,couvert
gizmos,handles,application/_tool_core_diag_scene_painter.py,595,diagnostic/catalogue,handles_by_id = None if callable(direct_handle) else {str(handle.id): handle for handle in ctx.gizmos.handles(owner_tool=self.owner_tool)},snapshot.handles,couvert
gizmos,handles,application/creator_viewport_ui.py,238,infrastructure application,for handle in ctx.gizmos.handles(owner_tool=owner_tool):,snapshot.handles,couvert
gizmos,handles,application/tool_core_diag/pointer_interaction.py,59,diagnostic/catalogue,"current_hover = next((h.id for h in self.runner.ctx.gizmos.handles(owner_tool=""tool_core_diag"") if h.hover), None)",snapshot.handles,couvert
gizmos,handles,application/tool_core_diag/pointer_interaction.py,339,diagnostic/catalogue,"return any(str(handle.kind).startswith(""demo_"") for handle in self.runner.ctx.gizmos.handles(owner_tool=""tool_core_diag""))",snapshot.handles,couvert
gizmos,handles,application/tool_core_diag/pointer_interaction.py,344,diagnostic/catalogue,"for handle in self.runner.ctx.gizmos.handles(owner_tool=""tool_core_diag"")",snapshot.handles,couvert
gizmos,handles,application/tool_core_diag/pointer_interaction.py,361,diagnostic/catalogue,"for handle in self.runner.ctx.gizmos.handles(owner_tool=""tool_core_diag""):",snapshot.handles,couvert
gizmos,set_minimal_dot_radii,application/tool_core_diag/view_settings.py,87,diagnostic/catalogue,self.runner.ctx.gizmos.set_minimal_dot_radii(,styles déclaratifs,couvert
gizmos,update_style_metrics,application/tool_core_diag/view_settings.py,91,diagnostic/catalogue,changed = self.runner.ctx.gizmos.update_style_metrics(,styles déclaratifs,couvert
gizmos,handles,controllers/interaction_gizmo_refresh.py,60,infrastructure application,has_ui = bool(ctx.gizmos.handles(owner_tool=active) or ctx.preview.items(owner_tool=active) or ctx.selection.actors(owner_tool=active)),snapshot.handles,couvert
